Index,Protein Name,Protein Id,Antibody Id,Reliability Verification,Tissue,Organ,Staining Level,Intensity Level,Quantity,locations,URL,Cytoplasm,Golgi Apparatus,Mitochondria,Nucleus,Endoplasmic Reticulum,Plasma Membrane,Vesicles,Cytoskeleton,Nucleoli,Lysosomes
6904,G3BP2,ENSG00000138757,HPA018425,supported,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/47749_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
6031,PKM,ENSG00000067225,CAB019421,uncertain,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/43332_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
5981,FAM120A,ENSG00000048828,HPA019734,approved,Liver,Liver & gallbladder,medium;low,moderate;weak,>75%;75%-25%,Cytoplasm,dataset/HPA-18/Cytoplasm/44652_A_7_4.jpg,1,0,0,0,0,0,0,0,0,0
6559,SH2D4A,ENSG00000104611,HPA001919,approved,Liver,Liver & gallbladder,medium;high,moderate;strong,>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/6516_A_8_4.jpg,1,0,0,0,0,0,0,0,0,0
6567,GCN1,ENSG00000089154,HPA024367,supported,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/53669_A_6_5.jpg,1,0,0,0,0,0,0,0,0,0
6725,SEPTIN7,ENSG00000122545,HPA029524,supported,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/65159_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6186,PCM1,ENSG00000078674,HPA023374,supported,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/54229_A_6_5.jpg,1,0,0,0,0,0,0,0,0,0
6494,ST13,ENSG00000100380,HPA047116,supported,Liver,Liver & gallbladder,medium;medium,moderate;moderate,>75%;75%-25%,Cytoplasm,dataset/HPA-18/Cytoplasm/126010_A_8_4.jpg,1,0,0,0,0,0,0,0,0,0
6962,MARS1,ENSG00000166986,CAB017097,supported,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/38706_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6703,IMPDH2,ENSG00000178035,CAB020717,approved,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/46628_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
5967,APEH,ENSG00000164062,HPA029700,enhanced,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/63282_A_2_5.jpg,1,0,0,0,0,0,0,0,0,0
6869,USH1C,ENSG00000006611,HPA027398,supported,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/60007_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6580,FHL2,ENSG00000115641,CAB008368,supported,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/24637_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6155,LARP4,ENSG00000161813,HPA039673,approved,Breast,Female tissues,medium;high;high,moderate;strong;strong,>75%;>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/89268_B_2_4.jpg,1,0,0,0,0,0,0,0,0,0
7247,KRT18,ENSG00000111057,HPA001605,supported,Prostate,Male tissues,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/4924_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
6662,ADSL,ENSG00000239900,CAB019285,supported,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/42513_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6283,APEH,ENSG00000164062,HPA029700,enhanced,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/63282_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
7004,EPRS1,ENSG00000136628,HPA030052,supported,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/62919_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6226,CDAN1,ENSG00000140326,HPA040787,supported,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/90421_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6269,GSDME,ENSG00000105928,CAB019306,approved,Liver,Liver & gallbladder,medium;medium,moderate;moderate,>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/43324_A_9_4.jpg,1,0,0,0,0,0,0,0,0,0
5983,PREP,ENSG00000085377,HPA031388,supported,Prostate,Male tissues,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/115403_A_2_5.jpg,1,0,0,0,0,0,0,0,0,0
6156,TTC1,ENSG00000113312,HPA036557,approved,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/77804_A_2_5.jpg,1,0,0,0,0,0,0,0,0,0
7251,ADSL,ENSG00000239900,HPA000525,enhanced,Prostate,Male tissues,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/935_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
6680,EIF4G2,ENSG00000110321,HPA006773,approved,Prostate,Male tissues,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/20768_A_1_5.jpg,1,0,0,0,0,0,0,0,0,0
6538,GCN1,ENSG00000089154,HPA019648,supported,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/45731_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
7317,LDHB,ENSG00000111716,HPA019007,supported,Breast,Female tissues,medium;medium;medium,moderate;moderate;moderate,>75%;>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/43808_B_3_4.jpg,1,0,0,0,0,0,0,0,0,0
6774,AARS1,ENSG00000090861,HPA040870,supported,Liver,Liver & gallbladder,high;medium,strong;moderate,>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/86642_A_9_4.jpg,1,0,0,0,0,0,0,0,0,0
6190,CKAP2L,ENSG00000169607,HPA039407,uncertain,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/86908_A_6_5.jpg,1,0,0,0,0,0,0,0,0,0
6444,SARS1,ENSG00000031698,HPA016939,approved,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/37565_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6039,KRT4,ENSG00000170477,CAB002154,supported,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/6020_A_1_5.jpg,1,0,0,0,0,0,0,0,0,0
7356,PSAPL1,ENSG00000178597,HPA038013,approved,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/80093_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6631,SHC1,ENSG00000160691,HPA001844,supported,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/5954_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6342,TNS1,ENSG00000079308,CAB018774,approved,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/40878_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
7024,OLA1,ENSG00000138430,HPA035790,approved,Prostate,Male tissues,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/70607_A_2_5.jpg,1,0,0,0,0,0,0,0,0,0
6232,PSMF1,ENSG00000125818,HPA041122,approved,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/94831_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6193,EIF3J,ENSG00000104131,HPA050977,approved,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/121025_A_6_5.jpg,1,0,0,0,0,0,0,0,0,0
5945,DARS1,ENSG00000115866,HPA020451,enhanced,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/47140_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6593,ATXN2,ENSG00000204842,HPA021146,supported,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/56489_A_6_5.jpg,1,0,0,0,0,0,0,0,0,0
6765,LPP,ENSG00000145012,HPA017342,supported,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/39943_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6643,ST13,ENSG00000100380,HPA047116,supported,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/126010_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6628,LARP4B,ENSG00000107929,HPA036566,approved,Prostate,Male tissues,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/75164_A_1_5.jpg,1,0,0,0,0,0,0,0,0,0
6187,RARS1,ENSG00000113643,HPA003979,approved,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/17093_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
7254,MVP,ENSG00000013364,HPA064740,supported,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/156984_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6515,PRRC2C,ENSG00000117523,HPA028659,approved,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/59410_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
5992,RARS1,ENSG00000113643,HPA003979,approved,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/17093_A_6_5.jpg,1,0,0,0,0,0,0,0,0,0
6483,TWF1,ENSG00000151239,HPA018116,approved,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/41238_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6345,IKBKG,ENSG00000269335,HPA000426,uncertain,Liver,Liver & gallbladder,medium;medium,moderate;moderate,>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/27683_A_9_4.jpg,1,0,0,0,0,0,0,0,0,0
6448,PFDN2,ENSG00000143256,HPA028700,approved,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/66983_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
6510,MVP,ENSG00000013364,HPA002321,enhanced,Liver,Liver & gallbladder,high;not detected,strong;negative,>75%;none,Cytoplasm,dataset/HPA-18/Cytoplasm/8747_A_9_4.jpg,1,0,0,0,0,0,0,0,0,0
6546,KIF5B,ENSG00000170759,HPA037589,approved,Liver,Liver & gallbladder,medium;medium,moderate;moderate,>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/142497_A_9_4.jpg,1,0,0,0,0,0,0,0,0,0
6286,YBX1,ENSG00000065978,HPA040304,supported,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/90793_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6331,STXBP2,ENSG00000076944,HPA015564,approved,Liver,Liver & gallbladder,high;not detected,strong;negative,>75%;none,Cytoplasm,dataset/HPA-18/Cytoplasm/37589_A_9_4.jpg,1,0,0,0,0,0,0,0,0,0
6852,MTHFD1,ENSG00000100714,HPA050052,approved,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/143868_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6430,OXSR1,ENSG00000172939,CAB017181,supported,Prostate,Male tissues,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/37946_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
6712,DUS2,ENSG00000167264,HPA043528,approved,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/101589_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6492,PPP1R13L,ENSG00000104881,HPA059883,approved,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/133996_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6533,TRAF2,ENSG00000127191,HPA010634,uncertain,Breast,Female tissues,medium;low;low,moderate;weak;weak,>75%;>75%;75%-25%,Cytoplasm,dataset/HPA-18/Cytoplasm/26485_B_3_4.jpg,1,0,0,0,0,0,0,0,0,0
5960,SND1,ENSG00000197157,CAB019323,supported,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/43522_A_2_5.jpg,1,0,0,0,0,0,0,0,0,0
5975,ATXN2L,ENSG00000168488,HPA041506,approved,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/87815_A_2_5.jpg,1,0,0,0,0,0,0,0,0,0
7003,PREP,ENSG00000085377,HPA031388,supported,Liver,Liver & gallbladder,medium;high,moderate;strong,>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/115403_A_9_4.jpg,1,0,0,0,0,0,0,0,0,0
6108,MAP1S,ENSG00000130479,HPA054637,approved,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/127302_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6970,KRT4,ENSG00000170477,CAB002154,supported,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/6020_A_2_5.jpg,1,0,0,0,0,0,0,0,0,0
7205,G3BP2,ENSG00000138757,HPA018304,enhanced,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/47741_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6914,ATPAF2,ENSG00000171953,HPA023329,supported,Liver,Liver & gallbladder,medium;high,moderate;strong,>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/50974_A_8_4.jpg,1,0,0,0,0,0,0,0,0,0
6535,KRT17,ENSG00000128422,HPA000452,supported,Liver,Liver & gallbladder,high;not detected,strong;negative,>75%;none,Cytoplasm,dataset/HPA-18/Cytoplasm/1886_A_7_4.jpg,1,0,0,0,0,0,0,0,0,0
7018,LIF,ENSG00000128342,HPA018844,uncertain,Breast,Female tissues,medium;low;medium,moderate;weak;moderate,>75%;>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/43353_B_3_4.jpg,1,0,0,0,0,0,0,0,0,0
6785,SND1,ENSG00000197157,CAB019323,supported,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/43522_A_1_5.jpg,1,0,0,0,0,0,0,0,0,0
6949,CARS1,ENSG00000110619,CAB075737,supported,Breast,Female tissues,medium;medium;medium,moderate;moderate;moderate,>75%;>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/159327_B_1_4.jpg,1,0,0,0,0,0,0,0,0,0
7349,KRT18,ENSG00000111057,HPA001605,supported,Liver,Liver & gallbladder,high;low,strong;weak,>75%;75%-25%,Cytoplasm,dataset/HPA-18/Cytoplasm/4924_A_8_4.jpg,1,0,0,0,0,0,0,0,0,0
6279,PUM2,ENSG00000055917,HPA030316,approved,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/68421_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
6883,KRT18,ENSG00000111057,HPA001605,supported,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/4924_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6513,SH3GL1,ENSG00000141985,HPA021485,approved,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/49412_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6588,KRT17,ENSG00000128422,HPA000452,supported,Liver,Liver & gallbladder,high;not detected,strong;negative,>75%;none,Cytoplasm,dataset/HPA-18/Cytoplasm/1886_A_8_4.jpg,1,0,0,0,0,0,0,0,0,0
5994,NDUFAF1,ENSG00000137806,HPA039933,supported,Liver,Liver & gallbladder,high;high,strong;strong,>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/95296_A_9_4.jpg,1,0,0,0,0,0,0,0,0,0
6819,PRKCD,ENSG00000163932,HPA001863,enhanced,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/6589_A_1_5.jpg,1,0,0,0,0,0,0,0,0,0
6523,HARS1,ENSG00000170445,HPA036539,approved,Prostate,Male tissues,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/75988_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
6367,RARS1,ENSG00000113643,HPA003979,approved,Liver,Liver & gallbladder,medium;medium,moderate;moderate,>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/17093_A_7_4.jpg,1,0,0,0,0,0,0,0,0,0
6266,SHC1,ENSG00000160691,HPA001844,supported,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/5954_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6177,PPP1R12A,ENSG00000058272,HPA071956,approved,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/163279_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6321,PLEC,ENSG00000178209,HPA025967,supported,Breast,Female tissues,medium;medium;medium,moderate;moderate;moderate,>75%;>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/55657_B_1_4.jpg,1,0,0,0,0,0,0,0,0,0
6968,PRKCD,ENSG00000163932,HPA001863,enhanced,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/6589_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
5986,KRT18,ENSG00000111057,HPA001605,supported,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/4924_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
5931,ADSL,ENSG00000239900,CAB019285,supported,Liver,Liver & gallbladder,medium;high,moderate;strong,>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/42513_A_7_4.jpg,1,0,0,0,0,0,0,0,0,0
7080,KRT18,ENSG00000111057,HPA001605,supported,Liver,Liver & gallbladder,high;low,strong;weak,>75%;75%-25%,Cytoplasm,dataset/HPA-18/Cytoplasm/4924_A_9_4.jpg,1,0,0,0,0,0,0,0,0,0
6854,COX19,ENSG00000240230,HPA021226,approved,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/48125_A_2_5.jpg,1,0,0,0,0,0,0,0,0,0
6267,LARP4,ENSG00000161813,HPA039673,approved,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/89268_A_1_5.jpg,1,0,0,0,0,0,0,0,0,0
6238,SARS1,ENSG00000031698,HPA016939,approved,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/37565_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6775,MTHFD1,ENSG00000100714,HPA001290,approved,Liver,Liver & gallbladder,medium;medium,moderate;moderate,>75%;>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/5140_A_9_4.jpg,1,0,0,0,0,0,0,0,0,0
6817,SH3GLB1,ENSG00000097033,CAB004650,supported,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/13201_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6298,APEH,ENSG00000164062,HPA029702,supported,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/63286_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6349,IRF6,ENSG00000117595,HPA063121,enhanced,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/154587_A_5_5.jpg,1,0,0,0,0,0,0,0,0,0
6781,LDHB,ENSG00000111716,HPA019007,supported,Liver,Liver & gallbladder,high;not detected,strong;negative,>75%;none,Cytoplasm,dataset/HPA-18/Cytoplasm/43808_A_8_4.jpg,1,0,0,0,0,0,0,0,0,0
6701,TTC1,ENSG00000113312,HPA036557,approved,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/77804_A_1_5.jpg,1,0,0,0,0,0,0,0,0,0
6957,TSC2,ENSG00000103197,CAB002225,approved,Urinary bladder,Kidney & urinary bladder,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/6110_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
6100,PCNT,ENSG00000160299,HPA016820,uncertain,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/47206_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
6698,CEP164,ENSG00000110274,HPA037605,uncertain,Prostate,Male tissues,medium,moderate,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/78591_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
6745,SERBP1,ENSG00000142864,CAB026297,supported,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/57240_A_6_5.jpg,1,0,0,0,0,0,0,0,0,0
6826,TIGAR,ENSG00000078237,HPA044111,approved,Prostate,Male tissues,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/132856_A_3_5.jpg,1,0,0,0,0,0,0,0,0,0
6963,MAPK6,ENSG00000069956,HPA030262,approved,Prostate,Male tissues,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/63310_A_2_5.jpg,1,0,0,0,0,0,0,0,0,0
6114,PPP1R13L,ENSG00000104881,HPA041231,approved,Urinary bladder,Kidney & urinary bladder,high,strong,>75%,Cytoplasm,dataset/HPA-18/Cytoplasm/91523_A_4_5.jpg,1,0,0,0,0,0,0,0,0,0
